,Name,Position,Born,Team,Height,Nationality,Weight,Match Played,Points,Career Best Points,Not Out Percentage,Raids,Successful Raids,Unsuccessful Raids,Empty Raid,Successful Raid Percentage,Raid Touch Points,Raid Bonus Points,Total Raid Points,Super Raids,Super 10s,Tackles,Successful Tackles,Unsuccessful Tackles,Successful Tackles Per Match,Tackle Bonus Points,Tackle Success Rate,Super Tackles,High 5s
0,Maninder Singh,Raider,"Jan 1, 1990",Bengal Warriors,6 ft,India,76 kg,19,192,19,82.02,306,161,55,90,62.74,162,30,192,6,9,7,0,7,0,0,0,0,0
1,K. Prapanjan,Raider,"May 29, 1993",Bengal Warriors,6 ft 1 in,India,83.6 kg,18,101,12,79.18,197,71,41,85,50.25,74,25,99,4,3,14,2,12,0.11,0,14.28,0,0
2,Mohammad Taghi,Raider,"Oct 21, 1991",Bengal Warriors,-,Iran,-,3,1,1,25,4,0,3,1,0,0,0,0,0,0,4,1,3,0.33,0,25,0,0
3,Rakesh Narwal,Raider,"May 6, 1995",Bengal Warriors,6 ft 1 in,India,82 kg,1,3,3,50,2,1,1,0,150,1,2,3,0,0,0,0,0,0,0,0,0,0
4,Ravindra Ramesh,Raider,"Apr 16, 1996",Bengal Warriors,-,India,-,2,2,2,57.14,7,1,3,3,14.28,0,1,1,0,0,1,1,0,0.5,0,100,0,0
5,Sukesh Hegde,Raider,"Oct 2, 1989",Bengal Warriors,5 ft 11 in,India,81.3 kg,12,34,8,82.19,73,22,13,38,45.2,22,11,33,2,0,4,1,3,0.08,0,25,0,0
6,Naveen Narwal,"Defender, right cover","Jan 1, 1970",Bengal Warriors,-,India,-,3,1,1,0,0,0,0,0,0,0,0,0,0,0,8,1,7,0.33,0,12.5,0,0
7,Amit,"Defender, right corner","Dec 12, 1998",Bengal Warriors,5 ft 5 in,India,74 kg,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
8,Baldev Singh,"Defender, right corner","May 27, 1993",Bengal Warriors,5 ft 10 in,India,74 kg,19,56,7,80,5,0,1,4,0,0,0,0,0,0,100,51,49,2.68,0,56,5,6
9,Jeeva Kumar,"Defender, right and left cover","Jun 1, 1981",Bengal Warriors,5 ft 5 in,India,72 kg,18,31,4,0,0,0,0,0,0,0,0,0,0,0,80,30,50,1.66,0,38.75,1,0
10,Viraj Vishnu,"Defender, left cover","Oct 15, 1993",Bengal Warriors,5 ft 7 in,India,-,8,7,3,0,0,0,0,0,0,0,0,0,0,0,31,7,24,0.87,0,22.58,0,0
11,Adarsh T,"Defender, left corner","Jan 1, 1970",Bengal Warriors,-,India,-,9,3,2,0,0,0,0,0,0,0,0,0,0,0,9,3,6,0.33,0,33.33,0,0
12,Dharmendra Singh,"Defender, left corner","Feb 3, 1994",Bengal Warriors,5 ft 7 in,India,75 kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Rinku Narwal,Defender,"Jan 1, 1970",Bengal Warriors,-,India,-,19,51,5,100,3,0,0,3,0,0,0,0,0,0,108,49,59,2.57,0,47.22,2,3
14,Amir Santosh,All Rounder,"Dec 16, 1991",Bengal Warriors,5 ft 7 in,India,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
