PlayerName,MatchesPlayed,Rank,PlayerProfile,TotalPoints,SuccessfulRaidPoints,RaidPoints,SuccessfulTackles,TacklePoints,AverageRaidPoints,AverageTacklePoints,DODRaidPoints,SuperRaids,SuperTackles,Super10s,High5s
Pawan Kumar Sehrawat,17,1,Raider,228,168,217,58,61,12.76,3.63,38,10,9,15,6
Pardeep Narwal,17,2,Raider,207,165,207,54,58,12.31,3.41,30,6,7,11,5
Naveen Kumar,16,3,Raider,199,161,197,52,58,12.18,3.39,27,5,7,11,5
Maninder Singh,18,4,Raider,175,148,175,49,55,9.72,3.24,27,5,7,8,5
Siddharth Sirish Desai,16,5,Raider,140,117,137,48,53,9.62,3.17,24,5,7,7,5
Deepak Niwas Hooda,18,6,All Rounder,134,98,125,46,51,8.56,3.07,24,4,6,5,4
Vikash Kandola,13,7,Raider,129,94,123,46,48,6.83,2.94,24,4,6,5,4
Rahul Chaudhari,18,8,Raider,120,92,113,44,47,6.53,2.83,24,3,5,5,3
Manjeet,18,9,Raider,118,83,103,44,46,6.53,2.79,24,3,5,4,3
Shrikant Jadhav,17,10,Raider,106,81,100,42,46,6.36,2.76,23,3,5,3,3
Rohit Gulia,18,11,All Rounder,105,77,99,40,45,6.28,2.75,20,2,5,3,3
K. Prapanjan,18,12,Raider,101,76,98,40,44,6.06,2.67,17,2,5,3,3
Abhishek Singh,15,13,Raider,99,74,98,39,43,5.82,2.65,15,2,5,3,3
Pankaj Mohite,15,13,Raider,99,73,92,38,42,5.56,2.58,13,2,4,2,2
Mohammad Esmaeil Nabibakhsh,18,15,All Rounder,93,71,89,38,41,5.25,2.56,12,2,4,2,2
Rohit Kumar,17,16,Raider,92,69,88,38,41,5.18,2.56,11,2,4,2,2
V. Ajith Kumar,15,17,Raider,89,65,84,37,40,5.11,2.56,11,2,3,2,2
Sachin Tanwar,16,18,Raider,85,59,77,36,40,5,2.53,11,2,3,2,2
Vinay,16,19,Raider,81,57,76,35,39,4.9,2.47,11,2,3,2,2
Chandran Ranjit,15,20,Raider,79,55,75,35,38,4.81,2.47,10,2,3,1,2
Arjun Deshwal,16,21,Raider,78,53,68,34,37,4.78,2.4,10,2,3,1,2
Sandeep Kumar Dhull,18,22,"Defender, left corner",62,47,58,34,37,4.75,2.35,10,2,3,1,2
More GB,16,23,Raider,60,44,56,33,36,4.46,2.33,10,2,3,1,2
Sumit,17,23,"Defender, left corner",60,43,49,31,35,4.31,2.33,10,1,3,1,1
Naveen,13,25,Raider,58,38,47,31,34,4.17,2.29,9,1,3,1,1
Vishal Bhardwaj,16,25,Defender,58,36,45,30,33,4,2.23,9,1,3,1,1
Ajay Thakur,13,25,Raider,58,35,44,29,33,3.8,2.22,8,1,3,1,1
Fazel Atrachali,17,28,"Defender, left corner",57,34,43,28,31,3.78,2.21,8,1,3,1,1
Surender Gill,14,29,Raider,55,34,41,28,31,3.46,2.18,8,1,3,1,1
Sandeep Narwal,17,30,All Rounder,54,32,40,27,31,3.38,2.06,8,1,2,1,1
PO Surjeet Singh,18,31,"Defender, right cover",53,30,40,27,29,3.36,2,8,1,2,1,1
Baldev Singh,18,31,"Defender, right corner",53,29,40,26,29,3.18,1.94,8,1,2,,1
Nitin Tomar,11,33,Raider,52,28,38,26,27,2.86,1.82,8,1,2,,1
