,PlayerName,Matchesplayed,Rank,PlayerProfile,TotalPoints,SuccessfulRaidPoints,RaidPoints,SuccessfulTackles,TacklePoints,Do_or_die_raidpoints,Super_raids,Super_tackles,Avg_Raidpoints,Avg_Tacklepoints,Super_10s,High_5s
0,                    Pawan Kumar Sehrawat,20,1.0,Raider,295,222.0,281.0,60.0,67.0,39.0,12.0,9.0,14.05,3.39,19.0,6.0
1,                    Naveen Kumar,20,2.0,Raider,258,213.0,256.0,60.0,64.0,38.0,7.0,7.0,12.8,3.39,14.0,5.0
2,                    Pardeep Narwal,20,3.0,Raider,251,196.0,251.0,60.0,61.0,33.0,6.0,7.0,12.55,3.35,13.0,5.0
3,                    Maninder Singh,20,4.0,Raider,205,171.0,205.0,57.0,61.0,33.0,6.0,7.0,10.25,3.2,10.0,5.0
4,                    Siddharth Sirish Desai,18,5.0,Raider,177,143.0,174.0,54.0,59.0,26.0,6.0,7.0,9.67,2.95,9.0,5.0
5,                    Vikash Kandola,17,6.0,Raider,163,123.0,159.0,52.0,57.0,25.0,6.0,7.0,9.35,2.94,7.0,5.0
6,                    Deepak Niwas Hooda,20,7.0,All Rounder,158,113.0,146.0,51.0,53.0,24.0,4.0,7.0,7.3,2.93,7.0,4.0
7,                    Manjeet,20,8.0,Raider,131,110.0,125.0,47.0,51.0,24.0,4.0,6.0,6.94,2.85,7.0,4.0
8,                    Rohit Gulia,20,9.0,All Rounder,127,97.0,118.0,46.0,51.0,24.0,3.0,6.0,6.88,2.78,4.0,3.0
9,                    Abhishek Singh,18,10.0,Raider,126,95.0,118.0,46.0,50.0,24.0,3.0,5.0,6.69,2.68,4.0,3.0
10,                    Rahul Chaudhari,20,10.0,Raider,126,89.0,114.0,46.0,50.0,23.0,3.0,5.0,6.33,2.65,4.0,3.0
11,                    Shrikant Jadhav,18,12.0,Raider,117,86.0,110.0,46.0,49.0,22.0,2.0,5.0,5.9,2.61,3.0,3.0
12,                    Pankaj Mohite,16,13.0,Raider,113,84.0,107.0,44.0,49.0,17.0,2.0,5.0,5.9,2.58,3.0,3.0
13,                    Chandran Ranjit,19,14.0,Raider,110,83.0,106.0,44.0,48.0,14.0,2.0,5.0,5.82,2.57,3.0,3.0
14,                    V. Ajith Kumar,17,15.0,Raider,107,81.0,104.0,44.0,47.0,14.0,2.0,4.0,5.58,2.56,3.0,3.0
15,                    K. Prapanjan,18,16.0,Raider,101,71.0,99.0,43.0,46.0,14.0,2.0,4.0,5.36,2.55,2.0,3.0
16,                    Vinay,20,16.0,Raider,101,69.0,97.0,42.0,46.0,14.0,2.0,4.0,5.25,2.47,2.0,3.0
17,                    Mohammad Esmaeil Nabibakhsh,20,18.0,All Rounder,100,69.0,88.0,42.0,46.0,12.0,2.0,4.0,5.2,2.45,2.0,3.0
18,                    Rohit Kumar,17,19.0,Raider,92,65.0,84.0,40.0,45.0,12.0,2.0,4.0,5.18,2.4,2.0,2.0
19,                    Sachin Tanwar,16,20.0,Raider,85,60.0,76.0,38.0,43.0,11.0,2.0,3.0,4.85,2.33,2.0,2.0
20,                    Arjun Deshwal,16,21.0,Raider,78,60.0,75.0,38.0,42.0,11.0,2.0,3.0,4.75,2.33,2.0,2.0
21,                    Prashanth Kumar Rai,14,22.0,Raider,75,57.0,75.0,36.0,41.0,11.0,2.0,3.0,4.5,2.3,2.0,2.0
22,                    Sandeep Kumar Dhull,20,23.0,"Defender, left corner",68,49.0,59.0,36.0,41.0,11.0,2.0,3.0,4.46,2.3,1.0,2.0
23,                    Fazel Atrachali,20,24.0,"Defender, left corner",66,47.0,58.0,36.0,39.0,11.0,2.0,3.0,4.3,2.28,1.0,1.0
24,                    More GB,17,25.0,Raider,64,46.0,56.0,35.0,39.0,10.0,1.0,3.0,4.3,2.25,1.0,1.0
25,                    Sumit,18,26.0,"Defender, left corner",63,44.0,55.0,34.0,38.0,10.0,1.0,3.0,4.17,2.17,1.0,1.0
26,                    Surender Gill,15,27.0,Raider,62,42.0,54.0,34.0,37.0,10.0,1.0,3.0,4.0,2.15,1.0,1.0
27,                    Naveen,15,28.0,Raider,61,41.0,54.0,33.0,37.0,10.0,1.0,3.0,4.0,2.07,1.0,1.0
28,                    Vishal Bhardwaj,18,28.0,Defender,61,40.0,53.0,32.0,36.0,9.0,1.0,3.0,3.93,2.06,1.0,1.0
29,                    Sandeep Narwal,20,28.0,All Rounder,61,40.0,52.0,31.0,35.0,9.0,1.0,2.0,3.75,2.0,1.0,1.0
30,                    Nitin Tomar,13,31.0,Raider,60,39.0,52.0,30.0,32.0,9.0,1.0,2.0,3.71,2.0,1.0,1.0
31,                    Baldev Singh,20,32.0,"Defender, right corner",59,38.0,49.0,29.0,32.0,8.0,1.0,2.0,3.6,1.95,1.0,1.0
32,                    Ajay Thakur,13,33.0,Raider,58,36.0,46.0,29.0,31.0,8.0,1.0,2.0,3.5,1.94,1.0,1.0
33,                    Ravinder Pahal,20,34.0,"Defender, right corner",57,35.0,44.0,28.0,30.0,8.0,1.0,2.0,3.47,1.88,1.0,1.0
34,                    Deepak Narwal,17,35.0,Raider,56,35.0,43.0,28.0,30.0,8.0,1.0,2.0,3.29,1.78,,1.0
35,                    Athul MS,16,35.0,Raider,56,35.0,43.0,27.0,27.0,8.0,1.0,2.0,3.24,1.75,,1.0
36,                    Sonu Jaglan,15,35.0,Raider,56,31.0,43.0,26.0,27.0,8.0,1.0,2.0,3.12,1.68,,1.0
37,                    Nilesh Salunke,17,38.0,Raider,55,31.0,40.0,24.0,25.0,8.0,1.0,2.0,3.08,1.58,,1.0
38,                    Rohit Baliyan,17,39.0,Raider,53,28.0,40.0,23.0,25.0,7.0,1.0,2.0,3.0,1.57,,
39,                    PO Surjeet Singh,19,39.0,"Defender, right cover",53,27.0,36.0,21.0,24.0,7.0,1.0,2.0,2.88,1.54,,
40,                    Jang Kun Lee,14,39.0,Raider,53,27.0,35.0,21.0,23.0,6.0,,2.0,2.71,1.5,,
41,                    Rinku Narwal,20,39.0,Defender,53,23.0,32.0,20.0,21.0,6.0,,2.0,2.67,1.4,,
42,                    Farhad Rahimi Milaghardan,18,43.0,All Rounder,52,22.0,30.0,19.0,21.0,6.0,,2.0,2.53,1.35,,
43,                    Nitin Rawal,15,44.0,All Rounder,51,20.0,25.0,18.0,21.0,5.0,,2.0,2.5,1.33,,
44,                    Neeraj Kumar,20,44.0,"Defender, right cover",51,20.0,25.0,18.0,20.0,5.0,,2.0,2.46,1.33,,
45,                    Vijay,19,44.0,All Rounder,51,19.0,22.0,18.0,19.0,5.0,,2.0,2.44,1.31,,
46,                    Nitesh Kumar,18,44.0,Defender,51,17.0,22.0,17.0,19.0,5.0,,1.0,2.31,1.28,,
47,                    Surinder Singh,20,48.0,Defender,50,16.0,19.0,15.0,17.0,4.0,,1.0,2.25,1.27,,
48,                    Mahender Singh,17,48.0,"Defender, left cover",50,14.0,19.0,15.0,17.0,4.0,,1.0,2.22,1.25,,
49,                    Saurabh Nandal,19,48.0,"Defender, left corner",50,13.0,18.0,15.0,16.0,4.0,,1.0,2.2,1.25,,
50,                    Jaideep,20,51.0,"Defender, left corner",49,12.0,18.0,15.0,15.0,3.0,,1.0,2.06,1.24,,
51,                    Parvesh Bhainswal,20,52.0,"Defender, left cover",48,12.0,17.0,14.0,15.0,3.0,,1.0,2.0,1.2,,
52,                    Sunil Kumar,18,53.0,Defender,47,9.0,16.0,13.0,14.0,3.0,,1.0,2.0,1.18,,
53,                    Hadi Oshtorak,20,53.0,All Rounder,47,9.0,12.0,13.0,14.0,3.0,,1.0,2.0,1.17,,
54,                    Rishank Devadiga,14,53.0,Raider,47,8.0,12.0,13.0,14.0,3.0,,1.0,1.83,1.17,,
55,                    Sunil,18,53.0,"Defender, right corner",47,8.0,11.0,12.0,14.0,3.0,,1.0,1.67,1.11,,
56,                    Joginder Singh Narwal,20,57.0,"Defender, left corner",46,7.0,11.0,11.0,13.0,2.0,,1.0,1.64,1.08,,
57,                    Monu Goyat,10,57.0,Raider,46,7.0,11.0,11.0,13.0,2.0,,1.0,1.57,1.07,,
58,                    Suraj Desai,12,59.0,Raider,45,7.0,11.0,11.0,12.0,2.0,,1.0,1.5,1.06,,
59,                    Dharmaraj Cheralathan,18,59.0,"Defender, right and left corner",45,6.0,10.0,11.0,12.0,2.0,,1.0,1.5,1.0,,
60,                    Rajnish,10,59.0,Raider,45,6.0,9.0,10.0,12.0,2.0,,1.0,1.47,1.0,,
61,                    Amit Sheoran,20,59.0,Defender,45,5.0,9.0,10.0,11.0,2.0,,1.0,1.46,1.0,,
62,                    Mohammad Esmaeil Maghsoudlou Mahalli,18,63.0,Raider,43,5.0,9.0,10.0,11.0,2.0,,1.0,1.42,0.92,,
63,                    Vishal,14,64.0,All Rounder,41,5.0,8.0,8.0,10.0,2.0,,1.0,1.33,0.89,,
64,                    Manjeet Chhillar,15,64.0,All Rounder,41,5.0,8.0,8.0,9.0,2.0,,1.0,1.25,0.88,,
65,                    Sukesh Hegde,13,64.0,Raider,41,5.0,7.0,8.0,9.0,1.0,,1.0,1.2,0.88,,
66,                    Ravi Kumar,18,64.0,"Defender, right cover",41,4.0,7.0,8.0,9.0,1.0,,1.0,1.17,0.86,,
67,                    Abozar Mohajermighani,18,68.0,Defender,40,4.0,6.0,8.0,8.0,1.0,,1.0,1.13,0.85,,
68,                    Sumit Singh,16,68.0,Raider,40,4.0,6.0,7.0,8.0,1.0,,1.0,1.0,0.8,,
69,                    Ran Singh,19,70.0,All Rounder,39,4.0,6.0,7.0,8.0,1.0,,1.0,1.0,0.8,,
70,                    Vikas Kale,19,71.0,"Defender, right cover",38,4.0,6.0,7.0,8.0,1.0,,1.0,1.0,0.71,,
71,                    Amit Hooda,14,72.0,"Defender, right corner",37,4.0,6.0,6.0,8.0,1.0,,1.0,1.0,0.71,,
72,                    Mohit Chhillar,18,72.0,"Defender, right corner",37,3.0,6.0,6.0,7.0,1.0,,1.0,1.0,0.7,,
73,                    Amit Kumar,13,72.0,Raider,37,3.0,5.0,6.0,7.0,1.0,,1.0,0.9,0.67,,
74,                    Monu,20,75.0,Raider,36,3.0,5.0,6.0,7.0,1.0,,1.0,0.8,0.67,,
75,                    Jadhav Balasaheb Shahaji,18,76.0,"Defender, right cover",35,3.0,5.0,6.0,7.0,,,1.0,0.79,0.67,,
76,                    Jeeva Kumar,19,77.0,"Defender, right and left cover",32,3.0,5.0,6.0,7.0,,,1.0,0.75,0.67,,
