,Name,Matches_Played,Successful_raid,Successful_tackles,Super_raid,Super_tackle,Total_points_scored,Raid_points,tackles_points,Do_or_die_raid_points,Total_points_conceded,All_outs_inflicted,All_outs_conceded
0,Patna Pirates,26,487,226,26,27,1050,637,252,95,921,55,29
1,Bengal Warriors,24,379,181,11,12,749,455,193,87,757,27,29
2,U.P. Yoddha,23,358,183,23,19,762,461,201,83,763,23,32
3,Tamil Thalaivas,22,351,184,5,17,681,410,201,89,752,19,31
4,Bengaluru Bulls,22,336,185,5,17,689,393,200,93,679,28,25
5,Gujarat Fortunegiants,24,335,242,11,12,775,405,254,98,641,36,17
6,Telugu Titans,22,332,191,10,17,696,400,207,88,698,25,26
7,Haryana Steelers,23,327,206,12,21,727,404,227,105,726,27,23
8,U Mumba,22,322,176,10,26,707,419,202,78,757,21,36
9,Puneri Paltan,24,304,252,12,21,766,379,271,119,683,32,23
10,Jaipur Pink Panthers,22,288,162,13,10,631,353,171,83,723,22,27
11,Dabang Delhi K.C.,22,283,159,6,12,598,344,169,94,731,18,35
